ninput_dim,ninput,nproc,nodes,time_s
64,37507,1,1,1.31
90,73803,1,1,2.42
128,148739,1,1,6
128,148739,1,1,6.01
181,296662,1,1,15.3
256,592387,1,1,40.4
256,592387,1,1,43
256,592387,2,2,28
256,592387,4,4,20
256,592387,8,8,12
256,592387,16,8,10
360,1170003,1,1,117.20
360,1170003,4,4,43
360,1170003,8,8,33
360,1170003,16,8,23
360,1170003,32,8,18
360,1170003,64,8,17
512,2364419,1,1,323.35
512,2364419,16,8,60
512,2364419,32,8,43
512,2364419,48,8,38
722,4698779,1,1,816.35
722,4698779,64,8,84
722,4698779,128,8,72
722,4698779,192,8,73
1024,9447427,1,1,
1024,9447427,128,8,167
1024,9447427,192,8,152
1024,9447427,256,8,154
1448,18884819,128,8,414
1448,18884819,192,8,375
1448,18884819,256,8,344
1448,18884819,384,8,348
2048,37769219,192,8,908
2048,37769219,256,8,832


